metric,dataset,scenario,target_method,baseline_method,n_paired_folds,mean_difference,sd_difference,wilcoxon_statistic,wilcoxon_p_two_sided,wilcoxon_p_fdr_bh
aupr,biosnap,cold_pair,arnoldi_s12,drugban,15,0.19677062745692242,0.04678201645242918,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_pair,arnoldi_s12,arnoldi_v4,15,0.1842283220319913,0.04625070207370143,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_pair,arnoldi_s12,arnoldi_s1,15,0.018658462741883472,0.03436621374551618,31.0,0.10699462890625,0.13282091864224138
aupr,biosnap,cold_pair,arnoldi_s12,arnoldi_s2,15,0.11285621688760367,0.04884820589842125,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_pair,arnoldi_s12,arnoldi_s12_shuffle,15,0.1740551410307253,0.03468596028910162,0.0,6.103515625e-05,9.912476503759398e-05
aupr,human,random,arnoldi_s12,lr,15,0.21094938505366845,0.029635536837921587,0.0,6.103515625e-05,9.912476503759398e-05
aupr,human,random,arnoldi_s12,mlp,15,0.08276877983747202,0.017276931921806158,0.0,6.103515625e-05,9.912476503759398e-05
aupr,human,random,arnoldi_s12,gcn,15,0.0024169488232046086,0.021827177583850298,53.0,0.7197265625,0.7658174261083743
aupr,human,random,arnoldi_s12,colddti,15,0.1839878753038178,0.05313819949298211,0.0,6.103515625e-05,9.912476503759398e-05
aupr,human,random,arnoldi_s12,drugban,15,0.001511784670503798,0.0220688817774053,55.0,0.803955078125,0.8308818032296651
aupr,human,random,arnoldi_s12,arnoldi_v4,15,0.058129067705918,0.013119766333400232,0.0,6.103515625e-05,9.912476503759398e-05
aupr,human,random,arnoldi_s12,arnoldi_s1,15,0.0017607613333287715,0.008558927356744477,35.0,0.1688232421875,0.202587890625
aupr,human,random,arnoldi_s12,arnoldi_s2,15,0.018210354267045856,0.010613436626393847,3.0,0.00030517578125,0.00046421104753521125
aupr,human,random,arnoldi_s12,arnoldi_s12_shuffle,15,0.05122992357384716,0.012245918173039645,0.0,6.103515625e-05,9.912476503759398e-05
aupr,human,cold_drug,arnoldi_s12,lr,15,0.4224159506473652,0.06501585740822197,0.0,6.103515625e-05,9.912476503759398e-05
aupr,human,cold_drug,arnoldi_s12,mlp,15,0.05980539972646702,0.08203293841572927,19.0,0.01806640625,0.023940759202453987
aupr,human,cold_drug,arnoldi_s12,gcn,15,0.04736502853408125,0.04397301778651279,7.0,0.00115966796875,0.0016924883868243243
aupr,human,cold_drug,arnoldi_s12,colddti,15,0.09061832043900322,0.07494665542495446,0.0,6.103515625e-05,9.912476503759398e-05
aupr,human,cold_drug,arnoldi_s12,drugban,15,0.00952457556482528,0.08853634084543306,48.0,0.52447509765625,0.5869773113665803
aupr,human,cold_drug,arnoldi_s12,arnoldi_v4,15,0.07270467872714202,0.05445677136178621,0.0,6.103515625e-05,9.912476503759398e-05
aupr,human,cold_drug,arnoldi_s12,arnoldi_s1,15,-0.0008206749321296243,0.022300468953401466,57.0,0.890380859375,0.9029214348591549
aupr,human,cold_drug,arnoldi_s12,arnoldi_s2,15,0.02997709370559209,0.02674598087208755,4.0,0.00042724609375,0.000645350743006993
aupr,human,cold_drug,arnoldi_s12,arnoldi_s12_shuffle,15,0.07756230651917302,0.05571950865941224,0.0,6.103515625e-05,9.912476503759398e-05
aupr,human,cold_protein,arnoldi_s12,lr,15,0.23870109013388033,0.06554534552084741,0.0,6.103515625e-05,9.912476503759398e-05
aupr,human,cold_protein,arnoldi_s12,mlp,15,-0.0040462190687948285,0.07432525476182773,56.0,0.846923828125,0.8711216517857143
