method,method_label,dataset,scenario,auc_mean,auc_std,auc_count,aupr_mean,aupr_std,aupr_count,f1_mean,f1_std,f1_count,accuracy_mean,accuracy_std,accuracy_count
arnoldi_v4,ArnoldiGCL without S1/S2,biosnap,random,0.8999522308645054,0.009369248240476805,15,0.6587915689426453,0.015249736098703852,15,0.6152715963532481,0.01092062285750211,15,0.9331952934989811,0.003468031044533238,15
arnoldi_v4,ArnoldiGCL without S1/S2,human,cold_drug,0.8735628396291056,0.029918886460425186,15,0.5157627008826374,0.06040640020167287,15,0.4583038893212246,0.0529007707630299,15,0.8989477984491351,0.010591829028397858,15
arnoldi_v4,ArnoldiGCL without S1/S2,human,cold_pair,0.6345307379537244,0.07955345465262932,15,0.19458484464161477,0.06993838154090937,15,0.20729331871915446,0.06453936491023408,15,0.7093113277404872,0.16044060383085654,15
arnoldi_v4,ArnoldiGCL without S1/S2,human,cold_protein,0.7408151975176324,0.0467044919306235,15,0.48247121425923345,0.08069859311370267,15,0.4584979720787672,0.10503381829793544,15,0.8796169167517418,0.10682652622387243,15
arnoldi_v4,ArnoldiGCL without S1/S2,human,random,0.9208186935505417,0.005820341995492121,15,0.7093794186447437,0.019036665473379812,15,0.6485817027192855,0.015418236869730317,15,0.9407282906918552,0.0032286485663102814,15
colddti,ColdDTI-inspired threshold GCN,bindingdb,cold_drug,0.9339519396717216,0.004815832252036979,15,0.672861234279343,0.013875113384180992,15,0.6204708165209315,0.008662726768094348,15,0.9231018186769807,0.003266881590780811,15
colddti,ColdDTI-inspired threshold GCN,bindingdb,cold_pair,0.5272169472985697,0.03546427459103155,15,0.09764511671880638,0.012714779193571848,15,0.15276977570305803,0.03626982359960879,15,0.5281425440120402,0.22491362948767307,15
colddti,ColdDTI-inspired threshold GCN,bindingdb,cold_protein,0.5387582745301072,0.03976302513316773,15,0.11133465365079617,0.0161955043605569,15,0.17205546145372969,0.011307059882882298,15,0.3917554913577913,0.19577863441776258,15
colddti,ColdDTI-inspired threshold GCN,bindingdb,random,0.9409448303203526,0.002071656115945214,15,0.6665596462271624,0.009924846662557349,15,0.6189464725598115,0.006320511551219448,15,0.9242116505373105,0.0027726580462715074,15
colddti,ColdDTI-inspired threshold GCN,biosnap,cold_drug,0.8496088292235697,0.0127229074590097,15,0.5507041497232611,0.024947657827337745,15,0.5309268756023902,0.017418753484545454,15,0.9212899875496459,0.0053455994586355015,15
colddti,ColdDTI-inspired threshold GCN,biosnap,cold_pair,0.6611517451710591,0.03235738782855657,15,0.2030897787696876,0.03705499480844091,15,0.21995501270469753,0.0669737268711641,15,0.8031390358143393,0.1183318262781436,15
colddti,ColdDTI-inspired threshold GCN,biosnap,cold_protein,0.6750775870170802,0.04339240228409109,15,0.24952124795160546,0.06993563153540612,15,0.2775215581815065,0.07967775884744903,15,0.8608802461515732,0.06848480367923682,15
colddti,ColdDTI-inspired threshold GCN,biosnap,random,0.894171845675556,0.006175291448053109,15,0.6327393804420777,0.015964630833164604,15,0.5885344330202497,0.014095053813505776,15,0.9269243410241241,0.005683915075104795,15
colddti,ColdDTI-inspired threshold GCN,human,cold_drug,0.8681896378633731,0.05568378298108026,15,0.49784905917077626,0.10862958243406565,15,0.44288890821571136,0.09699476859950577,15,0.9015202501066247,0.0195811772722732,15
colddti,ColdDTI-inspired threshold GCN,human,cold_pair,0.6097064563880104,0.06883508853919787,15,0.16048697086587305,0.06158122121789473,15,0.19529883662021066,0.07597274862953417,15,0.5815198262700715,0.22158238457557508,15
colddti,ColdDTI-inspired threshold GCN,human,cold_protein,0.7894077473788259,0.03559049937395213,15,0.5057932984231878,0.07004344766391231,15,0.4903724925334421,0.07094280547641219,15,0.9262632662332243,0.007568521065667761,15
colddti,ColdDTI-inspired threshold GCN,human,random,0.8604832128514972,0.022834846950058375,15,0.5835206110468439,0.05356552780311688,15,0.5496593463400654,0.046484163147472286,15,0.9249953594720227,0.007160967931634807,15
drugban,DrugBAN,bindingdb,cold_drug,0.9726275628209523,0.00354280549375482,15,0.909052272342592,0.010353308633688383,15,0.8591216508200461,0.012820694011882147,15,0.9752154031279071,0.0021664544196942264,15
drugban,DrugBAN,bindingdb,cold_pair,0.6453121432458908,0.04030646739978897,15,0.23368716298016842,0.057542194039548154,15,0.25226903627825603,0.048769661827377804,15,0.8314687883040182,0.08666265452771175,15
drugban,DrugBAN,bindingdb,cold_protein,0.6630724025862429,0.037204789466719665,15,0.24990235913020506,0.05304304224136495,15,0.2599710853314005,0.041508908336621166,15,0.8058564826528541,0.0845350448082914,15
drugban,DrugBAN,bindingdb,random,0.9791819314820461,0.001570950454407738,15,0.9250464288189446,0.004245928668301218,15,0.8781070145531031,0.00566613928625662,15,0.978350772197593,0.00110022337551765,15
drugban,DrugBAN,biosnap,cold_drug,0.8915170965768808,0.007748184640007806,15,0.6753925530434441,0.016912023615574617,15,0.6481237510794101,0.017167720904245006,15,0.9406702434922695,0.0033645548965260557,15
drugban,DrugBAN,biosnap,cold_pair,0.6202178079579138,0.027489003946502596,15,0.19716443512932086,0.03907175037255087,15,0.20720455190157694,0.03165925817496108,15,0.770187993522342,0.0959502274205025,15
drugban,DrugBAN,biosnap,cold_protein,0.6956160197455697,0.03952471243798754,15,0.3215195252806347,0.05227120464752124,15,0.3202061685288882,0.04481398445475635,15,0.8746681552527585,0.023322631321755192,15
drugban,DrugBAN,biosnap,random,0.9298574907717181,0.003114902616666756,15,0.7591762339635261,0.009651451786311428,15,0.7146123854122018,0.010319830953214157,15,0.9499003045640789,0.002656761791086869,15
drugban,DrugBAN,human,cold_drug,0.8708016153260902,0.04984111994729902,15,0.5789428040449542,0.09088443842168573,15,0.5488714773889213,0.08549684691200213,15,0.9210470628540536,0.01316074460167961,15
drugban,DrugBAN,human,cold_pair,0.6039838088857553,0.06719768677420507,15,0.1773337658093021,0.08392488663692751,15,0.19480895621388186,0.07234531627424785,15,0.7126967283638305,0.14004499922878041,15
drugban,DrugBAN,human,cold_protein,0.7510192535366932,0.04520868866997621,15,0.4575316466771927,0.06705434737393899,15,0.42836251027663347,0.05305172712830851,15,0.9049619515805057,0.02299921543024733,15
drugban,DrugBAN,human,random,0.9386843162058309,0.007965683740629975,15,0.765996701680158,0.021111034980969202,15,0.7080785849478011,0.017152389436401468,15,0.947495940494548,0.005332910810718828,15
gcn,GCN (leak-safe KNN graph),bindingdb,cold_drug,0.9172337305213638,0.004575872766358213,15,0.6142706076051051,0.024298157934452214,15,0.5971495567181923,0.010086821902119522,15,0.9242628394567518,0.003576108203018099,15
gcn,GCN (leak-safe KNN graph),bindingdb,cold_pair,0.5151209344771144,0.040887274217743304,15,0.09505227047356236,0.014711612299397941,15,0.1531508079994509,0.04001013800504856,15,0.4812822143562175,0.21557193408522418,15
gcn,GCN (leak-safe KNN graph),bindingdb,cold_protein,0.550724385314367,0.0575563501982981,15,0.10781954638996087,0.009579553639193668,15,0.1688301256387084,0.029856483889496077,15,0.5343128693489544,0.17189049118075989,15
