method,method_label,dataset,scenario,seed,fold,split_signature,best_val_auc,n_test_positive,accuracy,auc,aupr,f1,threshold
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_pair,983997847,1,fdb70f98b9e463558151fd73d60c71913bd135cf0ce599a478c803de17e9da06,0.7533631203960873,564,0.9129593810444874,0.7543408279261608,0.42877297035895656,0.44672131147540983,0.5557957389583327
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_pair,983997847,2,60f2b6d3b2a8cf0e94118477302b68562aa9163fef1a739ab2ee91f9a9ecc305,0.7618013527945887,633,0.8095648427401982,0.7332206524261958,0.37102058627555684,0.3350050150451354,0.35741244233634367
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_pair,983997847,3,58a094f9e8b563676173b717dbdfaf332a78a9bec18a7880fae9290d9c6c7f60,0.7837728865093528,465,0.9018572825024438,0.7261500751531969,0.34614823846160064,0.3817733990147783,0.6531158486457718
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_pair,983997847,4,c84d88de123bbd2f315b943f35ec392b0da31f3f67825c3d6b9a97568dc17108,0.6582244897959184,590,0.8835130970724191,0.7133519103705832,0.324474297308984,0.3309734513274336,0.45840028183509224
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_protein,1941488137,0,766482f3df920b6196c8c65f02aec9f1e1e1665d35dd7f78a5042a0d576940bc,0.8004710743801652,3596,0.8941753463444231,0.8441424224914346,0.5181660155303568,0.4986826347305389,0.46752568992849863
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_protein,1941488137,1,6845a196d809cb07fee4888cc59d379b6fe25b3ba4eb5507af2fc25a3f7a82d0,0.898092970600936,2732,0.9167775855184347,0.81419731360225,0.45482860048452267,0.45689467969598263,0.4706737840420574
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_protein,1941488137,2,f39fce42250d53c5ddc8895a8498a944872f43fd73a6f13a0a9fdd355bb652a5,0.8277680066355465,2521,0.9099203057949588,0.8143254496422829,0.4855904164024034,0.4947411003236246,0.36455300061261803
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_protein,1941488137,3,f358d9d2e2425b7e887892e4fe84f7af67f338032486c9b132b585223b8e3818,0.8088088581314878,2349,0.9153218003792717,0.7644072158455877,0.44056965951991117,0.4369531652084406,0.3258844324823928
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_protein,1941488137,4,5389109904b9618c65333360931fc52bdb7de0768f8973450380d4a88c7fc7c2,0.8514089288521891,2632,0.9188657087593258,0.8261530043490914,0.49725417819519946,0.5068234306109595,0.5060765846134866
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_protein,4198936517,0,fc1aa75b9b0048814ec09add25cac8ade5a40e6a544a3caeb436ae39d1baa70f,0.8013665745501322,3097,0.9215956791029442,0.8546931425820753,0.5303780166202683,0.5553520892292325,0.5680861928691603
